iter	MAE	RMSE
0	0.7477935317	0.9242488975
1	0.7338174706	0.9074817405
2	0.720630492	0.89152875
3	0.7096546839	0.8786555638
4	0.6987576416	0.8660372533
5	0.6893848479	0.855068067
6	0.679702233	0.8442336847
7	0.6711788928	0.8349729537
8	0.6633752526	0.8265256079
9	0.6569801323	0.8195322688
10	0.650932263	0.8128392368
11	0.6453100354	0.8066101792
12	0.6396422043	0.8007442187
13	0.6351415516	0.7959722297
14	0.6304960739	0.7911372888
15	0.6264195839	0.7868154778
16	0.6226483768	0.7830216566
17	0.6188259125	0.7791985941
18	0.6154500205	0.7755925918
19	0.6121648805	0.7722996686
20	0.6093146634	0.7693889418
21	0.6068390496	0.7668534253
22	0.6042121298	0.7643796799
23	0.602036625	0.7621579611
24	0.5999066011	0.7599977526
25	0.597929294	0.7580919908
26	0.5957276171	0.7560409886
27	0.5940306663	0.7543553808
28	0.5921278312	0.7525068334
29	0.5903181619	0.7508451357
30	0.5886107406	0.7492270607
31	0.5869049318	0.7473986818
32	0.5855347035	0.7460376677
33	0.5840728227	0.7444821297
34	0.5830126631	0.7433642104
35	0.5821633184	0.7425248193
36	0.5811738447	0.7415218591
37	0.5800548967	0.7405216031
38	0.5790600597	0.739625492
39	0.5781951246	0.73872199
40	0.5770137291	0.7374039033
41	0.5761997628	0.7365572049
42	0.5752333941	0.7354574017
43	0.5746218729	0.734834052
44	0.5737422056	0.7339842563
45	0.5730820406	0.7332771736
46	0.5725732891	0.732649275
47	0.5719942466	0.7319781334
48	0.5711667877	0.7311214891
49	0.5705923082	0.730430136
50	0.5700053283	0.7298333098
51	0.5693948787	0.7291725297
52	0.5688665301	0.7285962633
53	0.5682637101	0.7279177779
54	0.5675410068	0.7271808825
55	0.5668211716	0.7263017143
56	0.5663792796	0.7257910658
57	0.5657682806	0.7250996836
58	0.5651948512	0.7243826111
59	0.5647620383	0.7239005091
60	0.5643190423	0.7234079205
61	0.5638346508	0.7228987424
62	0.5632469268	0.7222210231
63	0.5629243499	0.7218610878
64	0.5624943563	0.7213423119
65	0.5618304064	0.7206689829
66	0.5613523528	0.7201451237
67	0.5605867952	0.7192986442
68	0.5601945929	0.7188805134
69	0.5599308449	0.7185725921
70	0.5594346275	0.7180078572
71	0.5591398851	0.7176331369
72	0.5588254243	0.7172497115
73	0.5584702891	0.7168585223
74	0.5582297142	0.7165609163
75	0.5578908075	0.7161380127
76	0.5574302231	0.7156247085
77	0.5571405365	0.7152801508
78	0.5566961983	0.7147854075
79	0.5563901256	0.714404472
80	0.5561207953	0.7140590759
81	0.5556982946	0.7136049461
82	0.5552560707	0.7131055939
83	0.5549948607	0.7128411745
84	0.554688627	0.7125279928
85	0.5544095857	0.7121965837
86	0.5541118228	0.7118390652
87	0.5539346515	0.7115805967
88	0.5535893681	0.7112931953
89	0.553197785	0.7108513855
90	0.5529298387	0.7105457018
91	0.5525126388	0.7100826194
92	0.552258224	0.7097751772
93	0.5520095754	0.7094425419
94	0.5517900181	0.7091559774
95	0.5515264571	0.708870401
96	0.5513003048	0.7086460763
97	0.5509750189	0.7083120452
98	0.5507199675	0.7080105389
99	0.5505151149	0.7077327058
100	0.5502031582	0.7074211168
101	0.5499407581	0.7071336447
102	0.5496970765	0.7068349061
103	0.5495014045	0.7065939602
104	0.5492000035	0.7062338653
105	0.54897583	0.7059450908
106	0.5487550643	0.7056652685
107	0.5485615068	0.7054717347
108	0.5482766351	0.7051336138
109	0.5481002884	0.7049468108
110	0.5478714139	0.7046499053
111	0.5475102956	0.7043023025
112	0.5471214082	0.703860648
113	0.5468419858	0.7035387545
114	0.5466823677	0.7033468118
115	0.5464891452	0.7031143202
116	0.5462255304	0.7028236414
117	0.5459319126	0.7025513502
118	0.5457829158	0.7023813512
119	0.5456086962	0.702215426
120	0.5453007563	0.7019014569
121	0.5450930523	0.7016623537
122	0.5448344618	0.7013962229
123	0.5446685746	0.7012409762
124	0.544508728	0.7010395647
125	0.54426099	0.7008053171
126	0.5440823085	0.7006172054
127	0.543892599	0.700412689
128	0.5436808434	0.7001811082
129	0.543504474	0.699955623
130	0.5433475099	0.6997769367
131	0.5430425858	0.6994303541
132	0.5428705617	0.699237838
133	0.5426408969	0.6990251249
134	0.5418874934	0.698248214
135	0.5416629802	0.6979848676
136	0.5413761938	0.6976761316
137	0.5410084518	0.6972317333
138	0.5406455503	0.6968274785
139	0.5404304559	0.6965357818
140	0.5401910161	0.6962221778
141	0.5398472639	0.6958757118
142	0.5395254644	0.6955378542
143	0.5393669554	0.6953669315
144	0.5392209392	0.6951805041
145	0.5389349915	0.6948644405
