iter	Passed	Remaining
0	625	374921
1	1323	395737
2	1878	373728
3	2404	358270
4	3091	367856
5	3800	376271
6	4361	369517
7	5028	372102
8	5646	370808
9	6270	369933
10	6859	367293
11	7401	362660
12	7947	358843
13	8484	355127
14	9021	351846
15	9755	356060
16	10294	353032
17	10985	355206
18	11508	351912
19	12026	348756
20	12541	345786
21	13070	343394
22	13702	343741
23	14445	346687
24	15187	349311
25	15845	349816
26	16359	347188
27	16865	344530
28	17369	342007
29	17889	339902
30	18413	337975
31	18929	336000
32	19467	334478
33	19983	332663
34	20591	332411
35	21111	330739
36	21762	331142
37	22353	330591
38	23007	330947
39	23603	330450
40	24252	330665
41	24904	330880
42	25608	331719
43	26118	330037
44	26628	328415
45	27158	327078
46	27768	326726
47	28698	330036
48	29345	329984
49	29971	329685
50	30560	328979
51	31230	329124
52	31796	328160
53	32368	327277
54	32922	326236
55	33513	325558
56	34063	324494
57	34595	323287
58	35204	322805
59	35872	322853
60	36489	322420
61	37073	321699
62	37676	321151
63	38356	321237
64	38899	320168
65	39527	319817
66	40107	319063
67	40754	318845
68	41359	318287
69	41920	317397
70	42479	316498
71	43031	315567
72	43565	314506
73	44093	313419
74	44625	312379
75	45160	311367
76	45692	310355
77	46238	309443
78	46774	308476
79	47300	307452
80	47834	306497
81	48385	305657
82	48928	304772
83	49448	303754
84	49984	302847
85	50517	301929
86	51085	301231
87	51611	300286
88	52137	299348
89	52668	298453
90	53190	297515
91	53747	296779
92	54301	296031
93	54867	295351
94	55414	294570
95	55957	293778
96	56479	292879
97	57010	292032
98	57584	291413
99	58173	290869
100	58798	290497
101	59433	290175
102	60049	289754
103	60629	289158
104	61167	288363
105	61698	287539
106	62232	286734
107	62773	285969
108	63352	285375
109	63896	284629
110	64454	283948
111	64988	283164
112	65567	282578
113	66134	281941
114	66678	281207
115	67269	280677
116	67872	280192
117	68413	279452
118	68956	278723
119	69494	277979
120	70035	277247
121	70563	276472
122	71093	275704
123	71620	274932
124	72170	274248
125	72721	273573
126	73250	272815
127	73778	272059
128	74314	271335
129	74848	270607
130	75386	269895
131	75962	269322
132	76484	268559
133	77009	267809
134	77579	267217
135	78110	266493
136	78640	265769
137	79170	265047
138	79728	264424
139	80260	263712
140	80785	262983
141	81348	262378
142	81911	261774
143	82446	261080
144	83004	260461
145	83662	260156
146	84342	259913
147	84914	259333
148	85494	258779
149	86043	258130
150	86622	257572
151	87178	256948
152	87736	256328
153	88316	255774
154	88896	255219
155	89476	254662
156	90038	254058
157	90596	253441
158	91187	252914
159	91756	252331
160	92302	251683
161	92837	251004
162	93651	251078
163	94571	251423
164	95282	251199
165	95963	250891
166	96723	250786
167	97498	250710
168	98216	250480
169	98936	250251
170	99521	249676
171	100063	248995
172	100605	248316
173	101133	247602
174	101653	246873
175	102171	246141
176	102767	245596
177	103347	245015
178	103987	244574
179	104573	244004
180	105236	243614
181	106047	243558
182	106626	242968
183	107253	242487
184	108085	242463
185	108827	242229
186	109477	241786
187	110111	241307
188	110641	240600
189	111347	240276
190	112070	239983
191	112844	239794
192	113734	239844
193	114529	239685
194	115288	239446
195	115856	238805
196	116433	238186
197	116994	237534
198	117521	236814
199	118055	236110
200	118569	235368
201	119117	234697
202	119757	234205
203	120417	233750
204	121022	233189
205	121622	232617
206	122257	232112
207	122843	231512
208	123436	230927
209	123998	230283
210	124592	229698
211	125119	228992
212	125627	228251
213	126168	227574
214	126677	226840
215	127211	226154
216	127734	225448
217	128257	224745
218	128777	224036
219	129309	223353
220	129920	222805
221	130583	222344
222	131172	221758
223	131810	221253
224	132310	220516
225	132816	219792
226	133327	219080
227	134038	218694
228	134610	218080
229	135385	217794
230	136180	217535
231	137119	217500
232	137928	217252
233	138828	217141
234	139676	216944
235	140500	216704
236	141208	216281
237	142233	216338
238	142953	215925
239	143648	215473
240	144278	214920
241	144897	214351
242	145578	213873
243	146236	213361
244	146872	212814
245	147454	212191
246	148072	211618
247	148853	211276
248	149582	210856
249	150320	210448
250	151090	210081
251	151852	209700
252	152487	209143
253	153168	208646
254	153981	208328
255	154850	208080
256	155679	207775
257	156519	207478
258	157419	207259
259	158091	206735
260	158807	206267
261	159539	205818
262	160215	205294
263	161005	204916
264	161739	204463
265	162429	203952
266	163199	203540
267	163984	203144
268	164699	202660
269	165483	202258
270	166228	201804
271	166957	201331
272	167578	200726
273	168357	200308
274	169118	199866
275	169891	199438
276	170599	198930
277	171341	198460
278	171987	197877
279	172630	197292
280	173385	196832
281	174192	196430
282	174917	195932
283	175637	195427
284	176308	194867
285	177099	194438
286	177878	193993
287	178598	193481
288	179415	193072
289	180124	192547
290	180787	191970
291	181551	191499
292	182262	190970
293	182873	190338
294	183568	189791
295	184183	189161
296	184856	188590
297	185499	187989
298	186199	187445
299	186879	186879
300	187484	186239
301	188174	185681
302	188825	185086
303	189520	184533
304	190215	183978
305	190921	183434
306	191663	182923
307	192490	182491
308	193206	181951
309	193846	181340
310	194512	180752
311	195252	180233
312	195965	179687
313	196648	179112
314	197321	178529
315	198043	177988
